question,label
Quick question: how do I book the seminar hall or auditorium for student events? for this academic year?,Other
Does the college provide bus routes or transport facilities?,Other
What is the address and location map of the campus?,Other
Quick question: who manages the alumni association and how do I join??,Other
Could you please inform me which top companies visit the campus for engineering placements? as soon as possible?,Placement
I want to know how much is the laboratory and library security deposit fee??,Fees
I have a query about: what is the passing criteria for practical lab sessions??,Exams
Can you tell me is there a penalty or late fee fine if I miss the deadline??,Fees
I have a query about: does the college provide bus routes or transport facilities??,Other
Can anyone tell me whom should I contact to get updates from the placement coordinators??,Placement
Quick question: what percentage of M.Tech students got placed last year??,Placement
Please let me know whom do I contact in case of maintenance issues in my hostel room??,Hostel
Please let me know whom should I reach out to for admission helpline queries??,Admissions
Please let me know is hostel accommodation compulsory for all MBA students??,Hostel
Can you tell me what are the hostel charges for a double sharing??,Hostel
Can you tell me what was the cutoff rank or percentage for BBA last year??,Admissions
Can anyone tell me is there a maximum number of backlogs allowed to move to the next year??,Exams
Could you please inform me is there a maximum number of backlogs allowed to move to the next year??,Exams
Can you tell me does the placement cell support entrepreneurship or startups? for new admissions?,Placement
Can you tell me does the college offer a discount on prepaying the annual fees??,Fees
I have a query about: does the campus have a gymnasium or indoor sports complex??,Other
Is there any financial aid or fee waiver for sports quota students?,Fees
How is the quality of food in the hostel mess?,Hostel
I have a query about: how do I register with the university placement cell??,Placement
I have a query about: how do I register with the university placement cell? for the next semester?,Placement
Who manages the alumni association and how do I join?,Other
Do you know how is the quality of food in the hostel mess??,Hostel
Could you please inform me what is the total fee structure for B.Sc??,Fees
Please let me know who is the main contact person for student grievances? for new admissions?,Other
Please let me know can I change my branch or specialization after taking admission? for the upcoming batch?,Admissions
How many companies visit the campus annually for recruitment?,Placement
Can anyone tell me which entrance exam score is required for computer science admissions? for new admissions?,Admissions
Could you please inform me how many companies visit the campus annually for recruitment? for the next semester?,Placement
Quick question: are there any economically weaker section scholarships available? for new admissions?,Fees
I have a query about: are there separate girls and boys hostels on campus? as soon as possible?,Hostel
I want to know can I view my evaluated answer sheets? for international students?,Exams
I want to know does the college offer placement preparation classes or mock interviews? for new admissions?,Placement
Can you tell me how can I apply for admission to the MCA program??,Admissions
Could you please inform me is hostel accommodation compulsory for all MBA students??,Hostel
Can you tell me is the admission registration fee refundable? for the next semester?,Admissions
Please let me know what are the hostel charges for a non-AC room? for new admissions?,Hostel
What percentage of MBA students got placed last year?,Placement
I want to know can I pay my tuition fees via net banking? for the upcoming batch?,Fees
Could you please inform me can the semester fees be paid in installments??,Fees
Quick question: where is the campus lost and found office located??,Other
Quick question: are off-campus placement drives supported by the college? for this academic year?,Placement
Please let me know can I pay my tuition fees via installments? for the next semester?,Fees
Please let me know can I view my evaluated answer sheets? for new admissions?,Exams
I have a query about: are students allowed to keep personal vehicles in the hostel? for international students?,Hostel
"Can anyone tell me is there a cafeteria or food court on campus, and what are its timings? for new admissions?",Other
Could you please inform me what is the daily curfew time for the student hostel??,Hostel
I want to know can I pay my tuition fees via credit/debit card? for new admissions?,Fees
Can anyone tell me when are the final semester exams scheduled to begin? for this academic year?,Exams
Could you please inform me is the campus wheelchair accessible? for new admissions?,Other
Quick question: are there guest house facilities available for visiting parents? for this academic year?,Other
Please let me know what are the operating hours of the central library? for the upcoming batch?,Other
I have a query about: how much is the laboratory and library security deposit fee? for the upcoming batch?,Fees
Quick question: are there any economically weaker section scholarships available? for the next semester?,Fees
I want to know is there a placement policy regarding accepting multiple offers? for this academic year?,Placement
Can anyone tell me is there a direct admission process or management quota??,Admissions
I want to know what are the extra charges apart from tuition fees? for new admissions?,Fees
Whom should I contact in the accounts department regarding fee discrepancies?,Fees
Please let me know does the college offer a discount on prepaying the annual fees? for the next semester?,Fees
Can anyone tell me what is the last date to submit the academic fees for B.Com??,Fees
Can anyone tell me what are the hostel charges for a double sharing? for new admissions?,Hostel
Can anyone tell me is there a different fee structure for NRI or international students? as soon as possible?,Fees
Can you tell me what is the procedure to clear backlogs or reappear in a failed exam? for new admissions?,Exams
I want to know is there a different fee structure for NRI or international students? as soon as possible?,Fees
What are the hostel charges for a non-AC room?,Hostel
Can anyone tell me is there a different fee structure for NRI or international students??,Fees
Can anyone tell me what are the operating hours of the central library? for this academic year?,Other
Do you know are external practical exams held before or after theory exams? for the upcoming batch?,Exams
I have a query about: what is the last date to submit the academic fees for PhD??,Fees
Can anyone tell me what is the passing criteria for practical lab sessions? for new admissions?,Exams
Do you know which entrance exam score is required for MCA admissions? for international students?,Admissions
Can anyone tell me what security measures are in place across the campus??,Other
Can anyone tell me whom do I contact in case of maintenance issues in my hostel room? for the upcoming batch?,Hostel
Can you tell me can I pay my tuition fees via net banking??,Fees
Please let me know what emergency medical services are available on campus? for international students?,Other
I have a query about: what is the last date to submit the academic fees for MCA??,Fees
Can you tell me what is the grading scale used for GPA calculation? for international students?,Exams
I want to know are there separate girls and boys hostels on campus? for the upcoming batch?,Hostel
I have a query about: are off-campus placement drives supported by the college? for the next semester?,Placement
Could you please inform me what is the intake capacity for the MBA course? for this academic year?,Admissions
Can anyone tell me are external practical exams held before or after theory exams? for new admissions?,Exams
Can I change my branch or specialization after taking admission?,Admissions
How can I apply for admission to the B.Sc program?,Admissions
Does the campus have a gymnasium or indoor sports complex?,Other
Are there separate girls and boys hostels on campus?,Hostel
Do you know how do I request a refund of my admission fees if I withdraw? for this academic year?,Fees
I have a query about: what are the hostel charges for a AC room??,Hostel
Could you please inform me what is the procedure to clear backlogs or reappear in a failed exam??,Exams
Quick question: is there a placement policy regarding accepting multiple offers??,Placement
"I want to know is there a cafeteria or food court on campus, and what are its timings? for new admissions?",Other
Quick question: how much weightage do internal mid-term assessments carry??,Exams
Can you tell me who manages the alumni association and how do I join? for new admissions?,Other
Quick question: are there separate girls and boys hostels on campus? for the next semester?,Hostel
I have a query about: which top companies visit the campus for M.Tech placements??,Placement
Do you know how can I check the status of my admission application? for the upcoming batch?,Admissions
Quick question: what percentage of computer science students got placed last year? for international students?,Placement
"Do you know is there a cafeteria or food court on campus, and what are its timings??",Other
Do you know how do I apply for hostel room allotment??,Hostel
Could you please inform me what is the grading scale used for GPA calculation? for the upcoming batch?,Exams
Can anyone tell me does the college offer placement preparation classes or mock interviews? for the next semester?,Placement
Can you tell me does the campus have a gymnasium or indoor sports complex? for new admissions?,Other
Do you know how can I check the status of my admission application? for this academic year?,Admissions
Can anyone tell me what security measures are in place across the campus? for the upcoming batch?,Other
I want to know is there a maximum number of backlogs allowed to move to the next year??,Exams
Do you know what security measures are in place across the campus? for this academic year?,Other
I want to know whom should I contact to get updates from the placement coordinators? for this academic year?,Placement
I want to know which entrance exam score is required for B.Com admissions? for the next semester?,Admissions
Can I pay my tuition fees via online banking?,Fees
Do you know does the college provide bus routes or transport facilities? for international students?,Other
I have a query about: are there any need-based scholarships available??,Fees
Could you please inform me is gym access included in the hostel fee? for the upcoming batch?,Hostel
I want to know what is the minimum passing percentage for the semester exams??,Exams
Can anyone tell me which top companies visit the campus for M.Tech placements? for new admissions?,Placement
I want to know are exam fees included in the tuition fee or charged separately? as soon as possible?,Fees
Can you tell me are there guest house facilities available for visiting parents? as soon as possible?,Other
I want to know what is the minimum passing percentage for the semester exams? for new admissions?,Exams
I have a query about: are there any economically weaker section scholarships available? for new admissions?,Fees
Could you please inform me what is the grading scale used for GPA calculation??,Exams
I want to know does the campus have a gymnasium or indoor sports complex? for this academic year?,Other
Quick question: is gym access included in the hostel fee? for the upcoming batch?,Hostel
Do you know do companies offer pre-placement offers (PPOs) during internships? as soon as possible?,Placement
Do you know where can I find the exam timetable and date sheet online? for the next semester?,Exams
Please let me know does the campus have a gymnasium or indoor sports complex? for new admissions?,Other
Please let me know does the campus have a gymnasium or indoor sports complex? for the next semester?,Other
How can I apply for an duplicate student identity card?,Other
What is the total fee structure for B.Sc?,Fees
I have a query about: whom should I contact to get updates from the placement coordinators? for the next semester?,Placement
How do I request a refund of my admission fees if I withdraw?,Fees
I have a query about: is there a direct admission process or management quota??,Admissions
Can you tell me what percentage of PhD students got placed last year? for the upcoming batch?,Placement
I want to know when are the final semester exams scheduled to begin? for the next semester?,Exams
What was the cutoff rank or percentage for BBA last year?,Admissions
Do you know how much weightage do internal mid-term assessments carry??,Exams
Can you tell me what is the total fee structure for MCA??,Fees
Can you tell me can I change my branch or specialization after taking admission? as soon as possible?,Admissions
I want to know is there a direct admission process or management quota? for the upcoming batch?,Admissions
Is there high-speed Wi-Fi and laundry service in the hostel?,Hostel
Quick question: are off-campus placement drives supported by the college? as soon as possible?,Placement
Can you tell me is there a penalty or late fee fine if I miss the deadline? for new admissions?,Fees
Do you know how do I submit an application for paper revaluation or rechecking? as soon as possible?,Exams
Could you please inform me can I pay my tuition fees via demand draft? for international students?,Fees
What are the extra charges apart from tuition fees?,Fees
Do you know is hostel accommodation compulsory for all PhD students? for the upcoming batch?,Hostel
Please let me know what is the last date to submit the academic fees for MBA? for new admissions?,Fees
Could you please inform me are off-campus placement drives supported by the college??,Placement
I want to know are off-campus placement drives supported by the college??,Placement
Quick question: can I change my branch or specialization after taking admission??,Admissions
Could you please inform me what are the operating hours of the central library??,Other
Do you know are international job opportunities offered during placements? for the next semester?,Placement
Can anyone tell me are there any need-based scholarships available? for new admissions?,Fees
Please let me know are parents or visitors allowed to visit the hostel rooms? for the next semester?,Hostel
What is the fee for appearing in a supplementary exam?,Exams
I want to know is hostel accommodation compulsory for all M.Tech students??,Hostel
I want to know what are the extra charges apart from tuition fees??,Fees
I want to know can I change my branch or specialization after taking admission??,Admissions
Please let me know how much is the laboratory and library security deposit fee? for the upcoming batch?,Fees
Quick question: whom should I contact to get updates from the placement coordinators??,Placement
Can anyone tell me whom should I contact in the accounts department regarding fee discrepancies??,Fees
Do you know what is the address and location map of the campus? for new admissions?,Other
What security measures are in place across the campus?,Other
Can you tell me does the college offer a discount on prepaying the annual fees? for the next semester?,Fees
Do you know what is the refund policy for hostel and mess deposits? for international students?,Hostel
I want to know does the college provide bus routes or transport facilities? for this academic year?,Other
Please let me know is there any financial aid or fee waiver for need-based students??,Fees
Can anyone tell me how can I check the status of my admission application? for new admissions?,Admissions
How do I submit an application for paper revaluation or rechecking?,Exams
Please let me know how much weightage do internal mid-term assessments carry? for international students?,Exams
Can the semester fees be paid in installments?,Fees
Quick question: how do I apply for hostel room allotment??,Hostel
I have a query about: what emergency medical services are available on campus? for international students?,Other
I have a query about: how much do I need to pay for the first semester fees? for the next semester?,Fees
I have a query about: is there a different fee structure for NRI or international students? for new admissions?,Fees
Can anyone tell me how do I book the seminar hall or auditorium for student events??,Other
What was the cutoff rank or percentage for M.Sc last year?,Admissions
Could you please inform me what is the last date to submit the academic fees for PhD? as soon as possible?,Fees
Do you know how can I check the status of my admission application? for new admissions?,Admissions
I have a query about: what emergency medical services are available on campus??,Other
How do I book a slot for the document verification process?,Admissions
Can anyone tell me how can I apply for admission to the computer science program? as soon as possible?,Admissions
